Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-11-16 20:02:35,467,2.82,-6.65,90
2023-11-16 21:02:35,468,2.64,-7.83,91
2023-11-16 22:02:35,469,2.88,-8.39,90
2023-11-16 23:02:35,470,2.94,-8.96,90
2023-11-17 00:02:35,471,2.9,-9.31,89
2023-11-17 01:02:35,472,2.71,-9.27,90
2023-11-17 02:02:35,473,2.89,-8.78,88
2023-11-17 03:02:35,474,3.08,-1.28,74
2023-11-17 04:02:35,475,2.86,2.01,65
2023-11-17 05:02:35,476,2.79,6.73,50
2023-11-17 06:02:35,477,2.6,10.72,40
2023-11-17 07:02:35,478,2.78,12.15,31
2023-11-17 08:02:35,479,2.57,13.02,28
2023-11-17 09:02:35,480,2.86,15.63,24
2023-11-17 10:02:35,481,2.96,9.29,34
2023-11-17 11:02:35,482,2.71,5.56,44
2023-11-17 12:02:35,483,2.88,-1.17,64
2023-11-17 13:02:35,484,2.77,-3.16,71
2023-11-17 14:02:35,485,2.88,-4.71,78
2023-11-17 15:02:35,486,2.83,-5.66,81
2023-11-17 16:02:35,487,2.95,-7.35,87
2023-11-17 17:02:35,488,2.87,-8.09,88
2023-11-17 18:02:35,489,2.68,-8.99,90
2023-11-17 19:02:35,490,2.64,-9.87,87
2023-11-17 20:02:35,491,2.66,-10.16,89
2023-11-17 21:02:35,492,2.78,-10.84,88
2023-11-17 22:02:35,493,2.77,-10.73,87
2023-11-17 23:02:35,494,2.71,-11.0,88
2023-11-18 00:02:35,495,2.73,-11.42,87
2023-11-18 01:02:35,496,2.7,-11.5,86
2023-11-18 02:02:35,497,2.66,-10.7,88
2023-11-18 03:02:35,498,2.79,-4.73,85
2023-11-18 04:02:35,499,2.87,0.32,69
2023-11-18 05:02:35,500,2.57,6.0,51
2023-11-18 06:02:35,501,2.72,9.96,41
2023-11-18 07:02:35,502,2.74,11.83,37
