Node,Message,Time UTC,Battery V,Last TX Dur ms,Temp C,Hum %,Status,Notes
3,104,2023-11-01T18:02:35,2.77,4.25,-2.21,79,0x0,
5,104,2023-11-01T18:29:17,2.76,4.27,-1.51,82,0x0,
10,105,2023-11-01T18:36:27,3.4,4.27,-0.17,100,0x0,
3,105,2023-11-01T19:02:35,2.85,4.25,-0.94,76,0x0,
5,105,2023-11-01T19:29:17,2.74,4.27,-0.74,81,0x0,
10,106,2023-11-01T19:36:27,3.4,4.27,-0.19,100,0x0,
3,106,2023-11-01T20:02:35,2.59,4.25,-1.25,79,0x0,
5,106,2023-11-01T20:29:17,2.91,4.27,-0.72,83,0x0,
10,107,2023-11-01T20:36:27,3.41,4.27,-0.17,100,0x0,
3,107,2023-11-01T21:02:35,2.51,4.25,-0.95,80,0x0,
5,107,2023-11-01T21:29:17,2.56,4.27,-0.43,82,0x0,
10,108,2023-11-01T21:36:27,3.4,4.27,-0.16,100,0x0,
3,108,2023-11-01T22:02:35,2.73,4.25,-0.29,78,0x0,
5,108,2023-11-01T22:29:17,2.96,4.27,0.11,81,0x0,
10,109,2023-11-01T22:36:27,3.4,4.27,-0.14,100,0x0,
3,109,2023-11-01T23:02:35,2.85,4.25,0.01,79,0x0,
5,109,2023-11-01T23:29:17,2.83,4.27,0.63,82,0x0,
10,110,2023-11-01T23:36:27,3.4,4.27,-0.17,100,0x0,
3,110,2023-11-02T00:02:35,2.8,4.25,1.07,85,0x0,
5,110,2023-11-02T00:29:17,2.67,4.27,2.28,91,0x0,
10,111,2023-11-02T00:36:27,3.41,4.27,-0.17,100,0x0,
3,111,2023-11-02T01:02:35,2.85,4.26,1.09,90,0x0,
5,111,2023-11-02T01:29:17,2.9,4.28,1.01,94,0x0,
10,112,2023-11-02T01:36:27,3.4,4.28,-0.17,100,0x0,
3,112,2023-11-02T02:02:35,2.81,4.25,0.25,92,0x0,
5,112,2023-11-02T02:29:17,2.71,4.27,0.72,94,0x0,
10,113,2023-11-02T02:36:27,3.4,4.27,-0.19,100,0x0,
3,113,2023-11-02T03:02:35,2.77,4.25,1.45,92,0x0,
5,113,2023-11-02T03:29:17,2.72,4.27,1.89,92,0x0,
10,114,2023-11-02T03:36:27,3.41,4.27,-0.17,100,0x0,
3,114,2023-11-02T04:02:35,2.65,4.26,2.61,91,0x0,
5,114,2023-11-02T04:29:17,2.59,4.27,5.88,77,0x0,
10,115,2023-11-02T04:36:27,3.4,4.27,-0.17,100,0x0,
3,115,2023-11-02T05:02:35,2.68,4.26,10.85,54,0x0,
5,115,2023-11-02T05:29:17,2.5,4.27,10.61,56,0x0,
10,116,2023-11-02T05:36:27,3.41,4.27,-0.16,100,0x0,
3,116,2023-11-02T06:02:35,2.53,4.26,10.57,55,0x0,
5,116,2023-11-02T06:29:17,2.84,4.28,9.7,61,0x0,
10,117,2023-11-02T06:36:27,3.41,4.27,-0.14,100,0x0,
3,117,2023-11-02T07:02:35,3.05,4.26,10.27,55,0x0,
5,117,2023-11-02T07:29:17,2.72,4.27,9.68,60,0x0,
10,118,2023-11-02T07:36:27,3.41,4.27,-0.16,100,0x0,
3,118,2023-11-02T08:02:35,2.78,4.26,9.39,58,0x0,
5,118,2023-11-02T08:29:17,2.8,4.27,9.39,64,0x0,
10,119,2023-11-02T08:36:27,3.41,4.28,-0.14,100,0x0,
3,119,2023-11-02T09:02:35,2.49,4.27,9.27,62,0x0,
5,119,2023-11-02T09:29:17,2.79,4.27,9.18,66,0x0,
10,120,2023-11-02T09:36:27,3.41,4.27,-0.14,100,0x0,
3,120,2023-11-02T10:02:35,2.84,4.27,9.29,60,0x0,
5,120,2023-11-02T10:29:17,2.7,4.27,8.89,65,0x0,
10,121,2023-11-02T10:36:27,3.41,4.27,-0.14,100,0x2,RFM95_NO_REPLY
3,121,2023-11-02T11:02:35,2.66,4.26,8.37,62,0x2,RFM95_NO_REPLY
5,121,2023-11-02T11:29:17,2.85,4.28,8.33,67,0x2,RFM95_NO_REPLY
10,122,2023-11-02T11:36:27,3.41,4.28,-0.16,100,0x0,
3,122,2023-11-02T12:02:35,2.71,4.26,7.95,64,0x0,
5,122,2023-11-02T12:29:17,2.75,4.27,7.87,68,0x0,
10,123,2023-11-02T12:36:27,3.41,4.27,-0.19,100,0x0,
